Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
,,,,-,No,,,No,,
,,,,-,No,,,No,,
:   Department of Housing and Community  Development,DCBO-2014-C-0502,FY14 Property Management Services,46000,5/2/2014 -                    9/2/2014,No,Base,Emergency,No,,Vesta Management Corporation
BOARD OF ELECTIONS,CW19423,FY13-DL0-Ballot Printing Services,177345,1/21/2012 -                    10/1/2013,No,Base Period,Open,No,,Election Systems & Software In
BOARD OF ELECTIONS,CW24703,"DCDL-2012-C-0429- Election Systems and Software, Inc.",162615,10/1/2013 -                    9/30/2014,No,Base Period,Open,No,,"Election Systems & Software, LLC"
Board of Elections & Ethics,DCDL-2003-M-0054,Help America Vote Act Consulting Services,42908.25,5/7/2003 -                    7/31/2003,No,Base,Open,No,No,International Foundation for Election Systems
Board of Elections & Ethics,DCDL-2003-M-0070,Polling Places Survey Services,41937.33,5/30/2003 -                    7/31/2003,No,Base,Open,No,Local                                     Small                                     Disadvantaged                                     Resident,Romanov Group LLC
Board of Elections & Ethics,DCDL-2004-C-0013,Election Ballots for FY 04 Elections,715740.2,12/19/2003 -                    12/18/2004,No,Base,Sole Source,No,No,Sequoia Voting Systems
Board of Elections & Ethics,PODL-2005-C-0001,To Provide Network Maintenance to the District of Columbia Board of Elections and Ethics to Enhance the Districts Election System to Comply With the Help America Vote Act (HAVA),141440,12/10/2004 -                    9/30/2005,No,Base,Sole Source,No,No,Mohammed B. Maeruf
Board of Elections & Ethics,DCDL-2008-C-0032,2008 Election Ballots,764894.6,1/2/2008 -                    1/1/2009,No,Base,Sole Source,No,No,Sequoia Voting Systems
Board of Elections & Ethics,DCDL-2008-C-0021,Transportation Services,144667.92,1/11/2008 -                    1/10/2009,No,Base,GSA,No,No,Paxton Van Lines
Board of Elections & Ethics,DCDL-2008-C-0023,Printing & Mailing Services DC Voter Guides,141000,1/15/2008 -                    1/14/2009,No,Base,Open,No,No,VRS Company
BOARD OF ELECTIONS & ETHICS,CW2302,HAVA Program Management Consulting Services,110000,4/2/2010 -                    4/1/2011,No,Option 2,Open,No,,CLIFFORD D.TATUM
BOARD OF ELECTIONS & ETHICS,CW5551,Digital Vote By Mail Pilot,397800,7/1/2010 -                    6/30/2011,No,Base Period,Open,No,,Open Source Digital Voting Fdn
BOARD OF ELECTIONS & ETHICS,CW8432,BPA-BOEE-Election Systems & Software-FY10-Goods,100000,8/4/2010 -                    8/3/2011,No,Base Period,Open,No,,Election Systems & Software In
BOARD OF ELECTIONS & ETHICS,CW5553,Forensic Analysis & Audit of Voting Equipment,76350,8/11/2010 -                    11/10/2010,No,Base Period,Open,No,,SYSTEST LAB
